Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=b08eb16bb96898e608befcdae8a89a31&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=LE&INSTR_ASSET.252=F4&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F4.T._Z.XDC._T.S.V.N._T
,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions]
2022Q1,0.00,657.54,0.00,0.00,0.00,0.00,88880.00,0.00,0.00,0.00,7824.00,0.00,2531601.00,0.00,10394.00,0.00,0.00,416.50,1184.28,1534.00,0.00,17867.10,0.00,34288.00,1472.75,139.01
2021Q4,0.00,657.51,0.00,0.00,0.00,0.00,87583.00,0.00,0.00,0.00,7824.00,0.00,2462988.00,0.00,10323.00,0.00,0.00,490.00,1177.95,1534.00,0.00,18048.36,0.00,34388.00,1490.35,132.28
2021Q3,0.00,658.13,0.00,0.00,0.00,0.00,90593.00,0.00,0.00,0.00,7824.00,0.00,2400318.00,0.00,10114.00,0.00,0.00,478.20,1194.92,1534.00,0.00,17594.31,0.00,34388.00,1468.70,132.28
2021Q2,0.00,658.87,0.00,0.00,0.00,0.00,86279.00,0.00,0.00,0.00,7824.00,0.00,2337649.00,0.00,9898.00,0.00,0.00,497.30,1199.23,1534.00,0.00,17590.26,0.00,34388.00,1451.26,132.28
2021Q1,0.00,659.64,0.00,0.00,0.00,0.00,85805.00,0.00,0.00,0.00,7824.00,0.00,2274979.00,0.00,9665.00,0.00,0.00,487.80,1178.36,1534.00,0.00,16886.21,0.00,34388.00,1333.26,132.28
2020Q4,0.00,658.72,0.00,0.00,0.00,0.00,85164.00,0.00,0.00,0.00,7824.00,0.00,2232310.00,0.00,9405.00,0.00,0.00,459.90,1156.05,1534.00,0.00,17382.15,0.00,34388.00,1324.52,132.28
2020Q3,0.00,659.49,0.00,0.00,0.00,0.00,81556.00,0.00,0.00,0.00,7824.00,0.00,2205275.00,0.00,9462.00,0.00,0.00,426.40,1156.06,1534.00,0.00,17826.86,0.00,34388.00,1322.02,132.28
2020Q2,0.00,660.02,0.00,0.00,0.00,0.00,78441.00,0.00,0.00,0.00,7824.00,0.00,2170822.00,0.00,9588.00,0.00,0.00,438.40,1158.22,1534.00,0.00,18171.57,0.00,34388.00,1290.56,132.28
2020Q1,0.00,660.44,0.00,0.00,0.00,0.00,76810.00,0.00,0.00,0.00,7824.00,0.00,2136370.00,0.00,9627.00,0.00,0.00,504.20,1157.38,1534.00,0.00,17316.27,0.00,34388.00,1186.17,132.28
2019Q4,0.00,659.72,0.00,0.00,0.00,0.00,75034.00,0.00,0.00,0.00,7824.00,0.00,2101917.00,0.00,9609.00,0.00,0.00,487.50,1114.84,1534.00,0.00,17673.60,0.00,34388.00,1189.24,132.28
2019Q3,0.00,752.65,0.00,0.00,0.00,0.00,73407.00,0.00,0.00,0.00,7824.00,0.00,2046267.00,0.00,9705.00,0.00,0.00,882.40,1078.06,1534.00,0.00,17883.00,0.00,34009.00,1160.92,132.28
2019Q2,0.00,845.59,0.00,0.00,0.00,0.00,73029.00,0.00,0.00,0.00,7824.00,0.00,1990617.00,0.00,9810.00,0.00,0.00,927.60,1047.80,1534.00,0.00,18192.40,0.00,34183.00,1169.79,132.28
2019Q1,0.00,938.52,0.00,0.00,0.00,0.00,70954.00,0.00,0.00,0.00,7824.00,0.00,1934967.00,0.00,9951.00,0.00,0.00,476.80,1013.23,1534.00,0.00,18401.79,0.00,33218.00,1159.25,132.28
2018Q4,0.00,1031.45,0.00,0.00,0.00,0.00,68315.00,0.00,0.00,0.00,7824.00,0.00,1879317.00,0.00,10071.00,0.00,0.00,553.20,979.32,1534.00,0.00,19011.41,0.00,32040.00,1153.91,132.28
2018Q3,0.00,1351.41,0.00,0.00,0.00,0.00,66872.00,0.00,0.00,0.00,7824.00,0.00,1846117.00,0.00,10241.00,0.00,0.00,566.30,1075.56,1534.00,0.00,18655.61,0.00,30906.00,1151.17,132.28
2018Q2,0.00,1671.37,0.00,0.00,0.00,0.00,66124.00,0.00,0.00,0.00,7824.00,0.00,1812917.00,0.00,10359.00,0.00,0.00,577.60,1044.77,1534.00,0.00,18712.97,0.00,31108.00,1102.50,132.28
2018Q1,0.00,1991.34,0.00,0.00,0.00,0.00,66556.00,0.00,0.00,0.00,7824.00,0.00,1779717.00,0.00,10515.00,0.00,0.00,593.60,1010.39,1534.00,0.00,18770.34,0.00,30131.00,1056.75,132.28
2017Q4,0.00,2311.30,0.00,0.00,52.00,0.00,67322.00,0.00,0.00,0.00,7824.00,0.00,1746517.00,0.00,10679.00,0.00,0.00,506.00,972.63,1534.00,0.00,18827.70,0.00,28480.00,974.65,132.28
2017Q3,0.00,462.60,0.00,0.00,51.00,0.00,67284.00,0.00,0.00,0.00,7824.00,0.00,1721886.00,0.00,10978.00,0.00,0.00,494.00,1074.90,1534.00,0.00,17790.70,0.00,28149.00,1001.04,132.28
2017Q2,0.00,254.85,0.00,0.00,49.00,0.00,65782.00,0.00,0.00,0.00,7824.00,0.00,1697256.00,0.00,11286.00,0.00,0.00,517.80,1027.39,1534.00,0.00,16533.69,0.00,28344.00,944.33,132.28
2017Q1,0.00,119.99,0.00,0.00,48.00,0.00,65539.00,0.00,0.00,0.00,7824.00,0.00,1672625.00,0.00,11664.00,0.00,0.00,536.00,983.54,1534.00,0.00,16226.68,0.00,27350.00,964.95,132.28
2016Q4,0.00,19.20,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1647994.00,0.00,12021.00,0.00,0.00,477.20,947.49,1534.00,0.00,16869.66,0.00,26273.00,885.15,132.28
2016Q3,0.00,19.35,0.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1611794.00,0.00,12152.00,0.00,0.00,448.20,921.63,1534.00,0.00,16489.74,0.00,27818.00,913.67,132.28
2016Q2,0.00,19.51,0.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1575595.00,0.00,12296.00,0.00,0.00,458.00,939.20,1534.00,0.00,16909.82,0.00,28587.00,905.75,132.28
2016Q1,0.00,19.66,0.00,0.00,74.00,0.00,0.00,0.00,0.00,0.00,7824.00,0.00,1539395.00,0.00,12467.00,0.00,0.00,365.30,922.66,1534.00,0.00,16609.90,0.00,27826.00,897.96,132.28
