Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=2e368df4bb24445326d3b27a6a9c31f0&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=F&INSTR_ASSET.252=F4&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.F.F4.T._Z.XDC._T.S.V.N._T
,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions]
2022Q1,0.00,0.03,0.00,0.00,0.00,0.00,837.00,0.00,0.00,0.00,0.00,0.00,68613.00,0.00,71.00,0.00,0.00,24.90,6.33,0.00,0.00,-181.26,0.00,0.00,-12.39,6.73
2021Q4,0.00,-0.62,0.00,0.00,0.00,0.00,-2565.00,0.00,0.00,0.00,0.00,0.00,62670.00,0.00,209.00,0.00,0.00,8.40,-16.97,0.00,0.00,454.05,0.00,0.00,14.80,0.00
2021Q3,0.00,-0.74,0.00,0.00,0.00,0.00,3607.00,0.00,0.00,0.00,0.00,0.00,62669.00,0.00,215.00,0.00,0.00,-3.70,-4.31,0.00,0.00,4.05,0.00,0.00,27.32,0.00
2021Q2,0.00,-0.78,0.00,0.00,0.00,0.00,513.00,0.00,0.00,0.00,0.00,0.00,62670.00,0.00,234.00,0.00,0.00,-10.00,20.87,0.00,0.00,704.05,0.00,0.00,62.91,0.00
2021Q1,0.00,0.92,0.00,0.00,0.00,0.00,480.00,0.00,0.00,0.00,0.00,0.00,42669.00,0.00,260.00,0.00,0.00,-18.30,22.31,0.00,0.00,-495.95,0.00,0.00,13.37,0.00
2020Q4,0.00,-0.77,0.00,0.00,0.00,0.00,4161.00,0.00,0.00,0.00,0.00,0.00,27035.00,0.00,-57.00,0.00,0.00,32.90,-0.01,0.00,0.00,-444.70,0.00,0.00,7.14,0.00
2020Q3,0.00,-0.53,0.00,0.00,0.00,0.00,1771.00,0.00,0.00,0.00,0.00,0.00,34453.00,0.00,-126.00,0.00,0.00,-9.40,-2.16,0.00,0.00,-344.70,0.00,0.00,35.98,0.00
2020Q2,0.00,-0.42,0.00,0.00,0.00,0.00,2517.00,0.00,0.00,0.00,0.00,0.00,34452.00,0.00,-39.00,0.00,0.00,-32.60,0.84,0.00,0.00,855.30,0.00,0.00,108.54,0.00
2020Q1,0.00,0.72,0.00,0.00,0.00,0.00,3451.00,0.00,0.00,0.00,0.00,0.00,34453.00,0.00,18.00,0.00,0.00,-41.00,42.54,0.00,0.00,-357.33,0.00,0.00,1.10,0.00
2019Q4,0.00,-92.93,0.00,0.00,0.00,0.00,1920.00,0.00,0.00,0.00,0.00,0.00,55650.00,0.00,-96.00,0.00,0.00,26.90,36.78,0.00,0.00,-209.39,0.00,379.00,32.38,0.00
2019Q3,0.00,-92.93,0.00,0.00,0.00,0.00,750.00,0.00,0.00,0.00,0.00,0.00,55650.00,0.00,-106.00,0.00,0.00,-24.70,30.26,0.00,0.00,-309.39,0.00,-174.00,-4.78,0.00
2019Q2,0.00,-92.93,0.00,0.00,0.00,0.00,2395.00,0.00,0.00,0.00,0.00,0.00,55650.00,0.00,-141.00,0.00,0.00,7.00,34.57,0.00,0.00,-209.39,0.00,965.00,14.59,0.00
2019Q1,0.00,-92.93,0.00,0.00,0.00,0.00,2738.00,0.00,0.00,0.00,0.00,0.00,55650.00,0.00,-120.00,0.00,0.00,-18.90,33.90,0.00,0.00,-609.39,0.00,1178.00,13.54,0.00
2018Q4,0.00,-319.96,0.00,0.00,0.00,0.00,1873.00,0.00,0.00,0.00,0.00,0.00,33200.00,0.00,-170.00,0.00,0.00,-19.50,-96.24,0.00,0.00,355.83,0.00,1134.00,5.68,0.00
2018Q3,0.00,-319.96,0.00,0.00,0.00,0.00,988.00,0.00,0.00,0.00,0.00,0.00,33200.00,0.00,-117.00,0.00,0.00,-22.90,30.79,0.00,0.00,-57.33,0.00,-202.00,51.48,0.00
2018Q2,0.00,-319.96,0.00,0.00,0.00,0.00,-292.00,0.00,0.00,0.00,0.00,0.00,33200.00,0.00,-157.00,0.00,0.00,-34.70,34.38,0.00,0.00,-57.33,0.00,977.00,48.44,0.00
2018Q1,0.00,-319.96,0.00,0.00,-52.00,0.00,-1255.00,0.00,0.00,0.00,0.00,0.00,33200.00,0.00,-164.00,0.00,0.00,-13.80,37.77,0.00,0.00,-57.33,0.00,1651.00,84.47,0.00
2017Q4,0.00,1848.70,0.00,0.00,1.00,0.00,935.00,0.00,0.00,0.00,0.00,0.00,24631.00,0.00,-299.00,0.00,0.00,-1.70,-102.27,0.00,0.00,1037.01,0.00,331.00,-23.77,0.00
2017Q3,0.00,207.75,0.00,0.00,2.00,0.00,481.00,0.00,0.00,0.00,0.00,0.00,24630.00,0.00,-308.00,0.00,0.00,-10.10,47.51,0.00,0.00,1257.02,0.00,-195.00,58.95,0.00
2017Q2,0.00,134.86,0.00,0.00,1.00,0.00,320.00,0.00,0.00,0.00,0.00,0.00,24631.00,0.00,-378.00,0.00,0.00,-18.30,43.86,0.00,0.00,307.02,0.00,995.00,-18.14,0.00
2017Q1,0.00,100.79,0.00,0.00,0.00,0.00,-1543.00,0.00,0.00,0.00,0.00,0.00,24631.00,0.00,-357.00,0.00,0.00,1.00,36.05,0.00,0.00,-642.98,0.00,1077.00,30.25,0.00
2016Q4,0.00,-0.15,0.00,0.00,-9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36200.00,0.00,-131.00,0.00,0.00,7.30,25.86,0.00,0.00,379.92,0.00,-1545.00,-26.32,0.00
2016Q3,0.00,-0.15,0.00,0.00,-9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36199.00,0.00,-144.00,0.00,0.00,-9.80,-17.58,0.00,0.00,-420.08,0.00,-769.00,10.22,0.00
2016Q2,0.00,-0.15,0.00,0.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36200.00,0.00,-171.00,0.00,0.00,92.70,16.54,0.00,0.00,299.92,0.00,761.00,10.04,0.00
2016Q1,0.00,-0.15,0.00,0.00,-9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36200.00,0.00,-101.00,0.00,0.00,-16.20,18.57,0.00,0.00,-381.39,0.00,1682.00,50.58,0.00
