Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=444dc78d2fcb17f3a760edd15fae71fe&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=F&INSTR_ASSET.252=F3&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.F.F3.T._Z.XDC._T.S.V.N._T
,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
Collection:,Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S),Summed through period (S)
Period\Unit:,[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions]
2022Q1,-9.00,-54.45,1.00,0.00,17590.00,143.00,-276.00,1.86,1.00,2.00,35.00,35.11,712.00,0.00,-3.00,9.88,-4.21,1.50,-3.68,-7.00,-6.33,-12.04,22.02,142.00,7.45,7.13
2021Q4,-128.00,117.80,-3.00,0.00,-15074.00,-153.00,-237.00,-0.13,3.00,-51.00,44.00,352.18,3702.00,0.00,-158.00,14.10,-1.53,2.00,65.19,-19.00,-26.68,63.70,17.33,-263.00,-5.50,35.19
2021Q3,-22.00,8.60,1.00,0.00,-712.00,-255.00,60.00,0.14,13.00,-24.00,3.00,114.20,-2906.00,0.00,473.00,2.55,-8.17,-0.50,51.93,2.00,-442.04,-12.58,33.55,98.00,7.38,15.40
2021Q2,-18.00,-125.39,0.00,0.00,-562.00,-117.00,-150.00,0.86,34.00,-12.00,-8.00,52.00,2055.00,0.00,578.00,8.70,-10.87,0.10,1.36,-4.00,-92.26,-37.96,23.75,176.00,-2.32,14.70
2021Q1,-11.00,21.73,1.00,0.00,-507.00,-259.00,-65.00,-0.23,78.00,-19.00,17.00,216.35,-774.00,0.00,90.00,-8.59,-7.75,4.80,11.98,2.00,-60.08,-22.80,47.91,-10.00,0.00,-7.16
2020Q4,30.00,151.40,-1.00,0.00,-1688.00,-652.00,-54.00,1.06,-50.00,-17.00,3.00,130.43,-1979.00,0.00,-144.00,12.80,-0.12,-1.70,-0.59,-43.00,-1.63,-66.64,1.30,-465.00,-0.18,23.94
2020Q3,-7.00,-92.38,-2.00,1.30,1087.00,-569.00,-4.00,-1.74,-31.00,-39.00,-3.00,515.68,1128.00,-1.00,1638.00,2.71,-7.15,-1.20,25.91,1.00,185.43,18.97,2.15,-81.00,-4.98,-4.39
2020Q2,-44.00,12.87,0.00,0.00,-36.00,260.00,-113.00,0.61,-258.00,-61.00,30.00,-195.05,308.00,0.00,71.00,2.62,5.22,-1.10,1.00,0.00,-505.91,-29.60,15.69,-353.00,1.84,-16.19
2020Q1,-34.00,-200.19,-3.00,0.00,-1965.00,-386.00,-27.00,1.25,19.00,-45.00,-46.00,-197.51,-1080.00,-1.00,-33.00,0.81,-11.77,0.60,-38.90,4.00,-17.01,-71.93,3.56,-1153.00,-1.54,-4.94
2019Q4,-342.00,106.62,3.00,0.00,-7116.00,-6.00,-17.00,0.80,-30.00,16.00,-8.00,-11.31,-676.00,0.00,268.00,8.75,-3.83,1.00,-9.86,-2.00,682.22,65.92,0.00,-146.00,1.59,-21.15
2019Q3,-123.00,-23.91,0.00,0.00,-1119.00,26.00,-113.00,-0.50,-43.00,-33.00,-18.00,-11.98,-1912.00,0.00,-1941.00,-0.92,-18.83,6.80,24.79,-3.00,14.68,68.18,0.00,-497.00,-0.59,48.84
2019Q2,73.00,-131.57,1.00,0.00,-1615.00,121.00,-110.00,-0.10,-40.00,-34.00,-108.00,0.54,-5326.00,0.00,86.00,1.91,-85.96,0.00,-2.25,-4.00,-35.98,28.30,0.00,317.00,-2.98,20.69
2019Q1,-68.00,-47.86,10.00,0.00,1449.00,198.00,-35.00,2.50,25.00,-14.00,12.00,135.78,80.00,0.00,253.00,5.56,26.96,1.30,58.63,-3.00,-24.34,-21.66,0.00,1666.00,-1.73,10.36
2018Q4,-82.00,-188.89,9.00,0.00,-2067.00,35.00,-115.00,-0.10,63.00,2.00,-181.00,11.87,-595.00,0.00,-157.00,0.08,-12.53,-1.70,29.65,3.00,-152.59,55.59,0.00,-124.00,1.97,53.25
2018Q3,19.00,-58.38,16.00,0.00,-740.00,-279.00,53.00,0.20,17.00,5.00,7.00,20.11,164.00,0.00,-10.00,11.28,1.32,0.20,-8.44,-1.00,-11.63,-85.46,0.00,-129.00,0.03,-22.85
2018Q2,-82.00,-279.75,1.00,0.00,652.00,-54.00,-616.00,2.20,-80.00,6.00,-3.00,49.52,-7934.00,13.00,611.00,1.71,1.48,-1.80,1.13,5.00,250.85,-2.90,0.00,-129.00,-0.51,-29.39
2018Q1,-281.00,-85.78,16.00,0.00,1778.00,289.00,-236.00,-0.70,9.00,-73.00,53.00,20.54,232.00,0.00,59.00,-80.49,-49.08,0.00,0.32,5.00,-11.55,-1.44,0.00,-129.00,-3.67,3.77
2017Q4,-53.00,-70.26,-32.00,0.00,106.00,-432.00,-353.00,0.87,-59.00,-84.00,-76.00,2.99,-537.00,1.00,803.00,-1.20,-18.92,-2.40,2.27,-11.00,-149.28,-228.94,0.00,77.00,5.01,-58.56
2017Q3,-178.00,-89.38,0.00,0.00,782.00,-169.00,-110.00,-0.66,-17.00,11.00,-33.00,6.45,1190.00,3.00,671.00,2.56,6.54,-1.60,3.72,-2.00,101.56,18.73,0.00,44.00,0.23,62.15
2017Q2,-228.00,-95.51,0.00,0.00,-3712.00,-145.00,-95.00,1.14,-1094.00,-75.00,-111.00,258.17,-2485.00,0.00,340.00,27.08,-2.15,1.00,-52.95,-17.00,-141.56,27.75,0.00,88.00,5.73,10.99
2017Q1,-109.00,-33.09,1.00,0.00,-376.00,-723.00,-103.00,0.50,-1.00,-47.00,208.00,77.82,-931.00,8.00,-1922.00,55.17,2.86,-0.90,43.40,-9.00,58.74,-19.27,0.00,91.00,-1.12,20.92
2016Q4,-163.00,-215.21,32.00,0.00,4143.00,-58.00,-332.00,0.10,-494.00,-44.00,-76.00,5.72,2164.00,2.00,227.00,4.48,-10.60,0.10,17.47,-4.00,-46.35,-34.96,0.00,-753.00,-5.69,51.09
2016Q3,18.00,-0.49,0.00,0.00,24.00,9.00,-335.00,2.90,-144.00,-5.00,-3.00,0.08,243.00,3.00,1003.00,0.08,2.04,0.50,158.16,1.00,-66.91,-157.44,0.00,-756.00,-0.04,-10.36
2016Q2,-8.00,-538.39,1.00,0.00,-1640.00,-596.00,-78.00,-0.10,61.00,-25.00,-205.00,0.00,-40.00,5.00,-43.00,0.49,-19.00,-0.70,20.05,10.00,378.49,-55.98,0.00,-756.00,4.63,50.29
