Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=4e4b4549e3aeff67a991c518ade63f84&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=QSA&showHide=&REF_AREA.252=AT&REF_AREA.252=BE&REF_AREA.252=BG&REF_AREA.252=CY&REF_AREA.252=CZ&REF_AREA.252=DE&REF_AREA.252=DK&REF_AREA.252=EE&REF_AREA.252=ES&REF_AREA.252=FI&REF_AREA.252=FR&REF_AREA.252=GR&REF_AREA.252=HU&REF_AREA.252=IE&REF_AREA.252=IT&REF_AREA.252=LT&REF_AREA.252=LU&REF_AREA.252=LV&REF_AREA.252=MT&REF_AREA.252=NL&REF_AREA.252=PL&REF_AREA.252=PT&REF_AREA.252=RO&REF_AREA.252=SE&REF_AREA.252=SI&REF_AREA.252=SK&REF_SECTOR.252=S1M&COUNTERPART_SECTOR.252=S11&STO.252=LE&INSTR_ASSET.252=F3&MATURITY.252=T&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9698168&SERIES_KEY_checkall=on&SERIES_KEY=332.QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T&SERIES_KEY=332.QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T
,QSA.Q.N.AT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.BG.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CY.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.CZ.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.DK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.EE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.ES.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.FR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.GR.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.HU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.IT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LU.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.LV.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.MT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.NL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PL.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.PT.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.RO.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SE.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SI.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T,QSA.Q.N.SK.W2.S1M.S11.N.A.LE.F3.T._Z.XDC._T.S.V.N._T
,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions],[Millions]
2022Q1,1804.00,1826.29,10.00,1.30,35803.00,11236.00,616.00,11.20,1094.00,346.00,758.00,1650.52,14893.00,58.70,2483.00,81.37,114.63,18.70,533.68,408.00,516.63,622.30,233.84,18306.00,30.25,637.17
2021Q4,1872.00,1880.99,11.00,1.30,17369.00,11758.00,909.00,9.48,1136.00,362.00,790.00,1642.88,14284.00,59.00,2537.00,71.97,117.83,18.40,537.36,420.00,520.48,621.28,214.79,18382.00,24.47,631.47
2021Q3,2017.00,1767.84,12.00,1.30,32488.00,12113.00,1175.00,8.92,1129.00,413.00,739.00,1319.06,10640.00,59.00,3094.00,58.37,118.71,16.70,472.17,436.00,545.77,552.55,196.69,18506.00,29.98,594.96
2021Q2,2076.00,1760.02,12.00,1.30,33074.00,12459.00,1116.00,8.73,1136.00,434.00,738.00,1218.37,13642.00,62.00,3159.00,55.80,126.41,17.20,420.25,436.00,999.16,542.97,162.22,17659.00,22.59,581.41
2021Q1,2071.00,1886.06,9.00,1.30,33854.00,12469.00,1274.00,7.83,1253.00,438.00,745.00,1151.08,11746.00,62.00,2992.00,47.13,137.00,16.30,418.89,439.00,1092.21,586.75,137.04,17444.00,34.37,569.53
2020Q4,2089.00,1874.46,9.00,1.30,34219.00,12814.00,1339.00,8.34,1171.00,456.00,729.00,928.23,12345.00,75.00,3027.00,54.90,144.34,11.20,406.90,435.00,1154.43,845.54,87.90,17363.00,34.36,584.24
2020Q3,2047.00,1722.67,9.00,1.30,36005.00,13298.00,1400.00,7.06,1207.00,455.00,718.00,793.72,14237.00,94.00,3268.00,41.89,143.75,13.60,407.50,455.00,1156.11,864.65,86.70,17747.00,34.50,567.63
2020Q2,2036.00,1815.40,8.00,0.00,34885.00,13754.00,1400.00,8.78,1301.00,491.00,711.00,275.83,12844.00,76.00,3907.00,41.34,149.78,14.50,381.58,450.00,964.31,837.44,84.64,17526.00,38.84,597.86
2020Q1,2052.00,1802.13,42.00,0.00,33786.00,12779.00,1476.00,8.20,1526.00,580.00,649.00,473.94,12385.00,75.00,3582.00,38.90,141.24,14.20,380.58,450.00,1480.16,827.77,66.51,17424.00,37.00,589.73
2019Q4,2175.00,2004.02,45.00,0.00,36782.00,14374.00,1596.00,7.70,1492.00,660.00,757.00,678.12,13130.00,77.00,4188.00,38.86,156.30,16.60,419.48,450.00,1497.76,966.61,0.00,19330.00,38.50,607.35
2019Q3,2552.00,1897.87,42.00,0.00,44141.00,14482.00,1630.00,6.92,1584.00,675.00,763.00,682.97,13964.00,81.00,3970.00,30.15,158.58,15.60,429.34,462.00,809.29,902.69,0.00,19576.00,34.70,628.76
2019Q2,2660.00,1972.67,43.00,0.00,43754.00,14502.00,1725.00,9.44,1603.00,669.00,773.00,689.26,15567.00,74.00,5117.00,30.15,180.31,8.90,404.55,465.00,794.22,835.97,0.00,21051.00,34.39,583.33
2019Q1,2578.00,2102.77,42.00,0.00,43449.00,14405.00,2092.00,9.24,1613.00,705.00,874.00,689.36,14214.00,75.00,4802.00,27.78,263.94,8.90,406.80,452.00,830.68,807.69,0.00,20595.00,36.81,563.65
2018Q4,2633.00,2149.01,17.00,0.00,41878.00,14024.00,2094.00,7.06,1575.00,717.00,837.00,554.97,14735.00,23.00,5070.00,21.64,245.66,7.60,348.17,447.00,855.53,822.00,0.00,18783.00,39.28,556.82
2018Q3,2739.00,2341.86,10.00,0.00,44080.00,14201.00,2257.00,7.14,1555.00,721.00,1036.00,558.25,15513.00,22.00,5168.00,26.42,257.27,9.40,318.52,452.00,1009.10,764.04,0.00,19120.00,41.08,503.79
2018Q2,2732.00,2401.21,15.00,0.00,44820.00,14425.00,2210.00,6.89,1445.00,721.00,1037.00,549.94,15532.00,22.00,5467.00,15.07,255.55,9.30,326.96,459.00,1020.72,848.98,0.00,19168.00,41.05,526.85
2018Q1,2837.00,2684.74,18.00,0.00,44168.00,14513.00,2825.00,4.73,1547.00,715.00,1047.00,418.17,22708.00,40.00,5013.00,13.44,253.09,11.30,325.82,460.00,768.50,857.29,0.00,19154.00,34.55,557.29
2017Q4,3151.00,2750.79,20.00,0.00,42390.00,14536.00,3114.00,4.59,1481.00,792.00,1056.00,416.31,22788.00,40.00,5359.00,93.89,295.87,11.30,325.50,461.00,780.06,831.59,0.00,18913.00,36.64,566.19
2017Q3,3238.00,2821.19,50.00,0.00,42284.00,14901.00,3479.00,5.40,1584.00,893.00,1130.00,413.32,23544.00,40.00,3997.00,95.08,315.02,13.30,323.23,469.00,928.81,875.12,0.00,18724.00,29.93,593.00
2017Q2,3412.00,2982.71,54.00,0.00,41506.00,14960.00,3582.00,6.07,1643.00,881.00,1164.00,373.27,22480.00,37.00,3619.00,92.44,308.72,14.90,319.51,464.00,827.04,879.02,0.00,18584.00,29.84,546.79
2017Q1,3647.00,3155.43,56.00,0.00,45215.00,15157.00,3673.00,6.31,1624.00,956.00,1278.00,114.20,25726.00,92.00,3468.00,65.35,314.46,13.90,372.46,478.00,968.89,853.08,0.00,18421.00,23.95,555.76
2016Q4,3755.00,3182.78,55.00,0.00,45563.00,15862.00,3903.00,7.60,1634.00,997.00,1127.00,16.77,26700.00,83.00,3123.00,10.18,313.33,14.90,329.06,482.00,909.70,842.57,0.00,17475.00,23.56,537.38
2016Q3,3946.00,3356.70,18.00,0.00,41420.00,16029.00,4358.00,7.50,1751.00,1030.00,1211.00,4.93,24169.00,80.00,3826.00,5.70,322.07,14.90,311.59,486.00,955.00,860.35,0.00,18055.00,30.37,490.35
2016Q2,3643.00,3364.47,19.00,0.00,41396.00,14999.00,5520.00,4.60,1844.00,1019.00,1201.00,0.94,24107.00,83.00,3349.00,5.62,320.14,14.20,153.43,486.00,1021.29,1009.26,0.00,18591.00,29.01,487.28
2016Q1,3644.00,3899.78,19.00,0.00,43036.00,15720.00,4616.00,4.70,1818.00,1040.00,1410.00,1.56,23633.00,78.00,3812.00,5.13,326.80,15.10,133.38,477.00,641.57,1060.94,0.00,19275.00,31.11,438.63
